Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00194566918766283,-0.00109097921427315,0.316994517960087,0,0,0,7.91247917698635,0.145598951497233,-0.000172884896694806,-0.000251389605266501,0.0854442410574498,-0.000134211141023005,0.136374539437203,0,0,0,0,0,0,package://F1_URDF_V04/meshes/base_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/base_link.STL,,F1-base-01-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lift_link,0.000142175254067213,2.11165791047518E-06,0.0439752745672914,0,0,0,1.82395072612753,0.00925632725479673,1.6498662548833E-09,-3.03887923686899E-07,0.00863691807463831,1.25743703385355E-07,0.00380709645190871,0,0,0,0,0,0,package://F1_URDF_V04/meshes/lift_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/lift_link.STL,,F1-lift-1,lift_cs,lift_axis,lift_joint,prismatic,0,0,0.6371,0,0,0,base_link,0,0,1,500,0.02,0,0.2,,,,,,,,
waist1_link,-0.0100516780703075,0.0016574443557647,0.0693075072137961,0,0,0,0.538085620273492,0.000734278079232959,5.78597378537913E-07,-2.94523287684306E-05,0.000929507885536847,-7.31567090056469E-06,0.000780087148272825,0,0,0,0,0,0,package://F1_URDF_V04/meshes/waist1_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/waist1_link.STL,,F1-waist1-1,waist1_cs,waist1_axis,waist1_joint,revolute,0,0,0.1895,0,0,0,lift_link,0,0,1,100,10,-1.57,1.57,,,,,,,,
waist2_link,0.00293962497306607,-0.0733271749750489,0.168272575641776,0,0,0,1.20963384660674,0.0142225369097283,-1.47342481806597E-06,-6.07489569623424E-05,0.00900980070332565,5.89785653313249E-06,0.00718334741583759,0,0,0,0,0,0,package://F1_URDF_V04/meshes/waist2_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/waist2_link.STL,,F1-body-1,waist2_cs,waist2_axis,waist2_joint,revolute,0,0.0735000000060821,0.112,0,0,0,waist1_link,0,1,0,100,10,0,1.57,,,,,,,,
head1_link,5.79333201259878E-05,0.000554003244000845,0.0855354306358729,0,0,0,0.323998890436899,0.000188151196887478,1.03980350310064E-09,-4.46597461007287E-07,0.000187732867789408,4.02247437684926E-06,0.000185266935600492,0,0,0,0,0,0,package://F1_URDF_V04/meshes/head1_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/head1_link.STL,,F1-neck-1,head1_cs,head1_axis,head1_joint,revolute,0,-0.0735,0.326,0,0,0,waist2_link,0,0,-1,5,10,-1.57,1.57,,,,,,,,
head2_link,0.0114897103473797,-0.0208392949704578,0.0425248133871732,0,0,0,0.404993974590135,0.00168310046469181,1.09606924457386E-07,0.000138998967988331,0.00177468420914237,-7.89761373359194E-08,0.00232178409939808,0,0,0,0,0,0,package://F1_URDF_V04/meshes/head2_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/head2_link.STL,,F1-head-1,head2_cs,head2_axis,head2_joint,revolute,0,0.0255,0.149,0,0,0,head1_link,0,-1,0,5,10,-0.4,0.6,,,,,,,,
J1_right_link,-0.000842072598412763,-0.0588304762692798,8.83282008793396E-05,0,0,0,0.682400647209939,0.000558274029748422,1.17702183337751E-06,6.55972616913759E-08,0.00058549937464459,-2.01260544772388E-06,0.000514634320290598,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J1_right_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J1_right_link.STL,,F1-J1-R-1,J1_R_cs,J1_R_axis,J1_right_joint,revolute,0,-0.1535,0.246,0,0,0,waist2_link,0,-1,0,30,10,-3.05,3.05,,,,,,,,
J2_right_link,-0.036000340471171,-0.00166918415561557,-0.0535523853213744,0,0,0,0.165293845339318,0.000286371194262129,-3.34667456270207E-07,5.14668253000223E-06,0.000243191224311267,7.37309947458826E-07,0.000131225309728876,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J2_right_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J2_right_link.STL,,F1-J2-R-1,J2_R_cs,J2_R_axis,J2_right_joint,revolute,0.02875,-0.10175,0,0,0,0,J1_right_link,-1,0,0,30,10,0,3.14,,,,,,,,
J3_right_link,2.7863912310775E-05,0.00326702245165178,-0.0782149845196261,0,0,0,0.232241716960011,0.000431085376105626,-4.58509359000455E-08,4.11380279255277E-07,0.000404003015473945,4.53289109340734E-06,0.000117971430713834,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J3_right_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J3_right_link.STL,,F1-J3-R-1,J3_R_cs,J3_R_axis,J3_right_joint,revolute,-0.0287499999999987,0,-0.11475,0,0,0,J2_right_link,0,0,1,15,10,-3.05,3.05,,,,,,,,
J4_right_link,2.68069827570605E-06,-0.034802882941336,-0.0668347100472179,0,0,0,0.290114168510415,0.000400978391379549,-1.17615427251531E-08,2.01660839716144E-08,0.000418120700066954,-4.77901882442094E-05,0.000213092277082226,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J4_right_link.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://F1_URDF_V04/meshes/J4_right_link.STL,,F1-J4-R-1,J4_R_cs,J4_R_axis,J4_right_joint,revolute,0,0.03875,-0.12875,0,0,0,J3_right_link,0,-1,0,15,10,-1.57,1.57,,,,,,,,
